,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
1,3713769186.51,1.95,1.188,2.013,DC,DC
2,3713769189.02,1.95,1.188,2.013,DC,DC
3,3713769191.53,1.95,1.188,2.013,DC,DC
4,3713769194.05,1.95,1.188,2.013,DC,DC
5,3713769196.57,1.95,1.188,2.013,DC,DC
6,3713769199.09,1.95,1.188,2.013,DC,DC
7,3713769201.59,1.95,1.188,2.013,DC,DC
8,3713769204.1,1.95,1.188,2.013,DC,DC
9,3713769206.63,1.95,1.188,2.013,DC,DC
10,3713769209.14,1.95,1.188,2.013,DC,DC
11,3713769211.65,1.95,1.188,2.013,DC,DC
12,3713769214.15,1.95,1.188,2.013,DC,DC
13,3713769216.68,1.95,1.188,2.013,DC,DC
14,3713769219.18,1.95,1.188,2.013,DC,DC
15,3713769221.69,1.95,1.188,2.013,DC,DC
16,3713769224.2,1.95,1.188,2.013,DC,DC
17,3713769226.71,1.95,1.188,2.013,DC,DC
18,3713769229.21,1.95,1.188,2.013,DC,DC
19,3713769231.73,1.95,1.188,2.013,DC,DC
20,3713769234.24,1.95,1.188,2.013,DC,DC
21,3713769236.75,1.95,1.188,2.013,DC,DC
22,3713769239.27,1.95,1.188,2.013,DC,DC
23,3713769241.78,1.95,1.188,2.013,DC,DC
24,3713769244.29,1.95,1.188,2.013,DC,DC
25,3713769246.8,1.95,1.188,2.013,DC,DC
26,3713769249.31,1.95,1.188,2.013,DC,DC
27,3713769251.84,1.95,1.188,2.013,DC,DC
28,3713769254.35,1.95,1.188,2.013,DC,DC
29,3713769256.85,1.95,1.188,2.013,DC,DC
30,3713769259.37,1.95,1.188,2.013,DC,DC
31,3713769261.89,1.95,1.188,2.013,DC,DC
32,3713769264.4,1.95,1.188,2.013,DC,DC
33,3713769266.91,1.95,1.188,2.013,DC,DC
34,3713769269.42,1.95,1.188,2.013,DC,DC
35,3713769271.93,1.95,1.188,2.013,DC,DC
36,3713769274.44,1.95,1.188,2.013,DC,DC
37,3713769276.95,1.95,1.189,2.013,DC,DC
38,3713769279.47,1.95,1.188,2.013,DC,DC
39,3713769281.98,1.95,1.188,2.013,DC,DC
40,3713769284.48,1.95,1.188,2.013,DC,DC
41,3713769286.99,1.95,1.189,2.013,DC,DC
42,3713769289.5,1.95,1.188,2.013,DC,DC
43,3713769292.01,1.95,1.188,2.013,DC,DC
44,3713769294.51,1.95,1.188,2.013,DC,DC
45,3713769297.02,1.95,1.188,2.013,DC,DC
46,3713769299.53,1.95,1.188,2.013,DC,DC
47,3713769302.05,1.95,1.188,2.013,DC,DC
48,3713769304.57,1.95,1.188,2.013,DC,DC
49,3713769365.7,1.95,1.188,2.018,DC,DC
50,3713769368.21,1.95,1.188,2.018,DC,DC
51,3713769370.73,1.95,1.188,2.018,DC,DC
52,3713769373.25,1.95,1.188,2.018,DC,DC
