,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
1,3713516716.06,1.135,1.101,2.501,DC,DC
2,3713516718.57,1.135,1.101,2.501,DC,DC
3,3713516721.08,1.135,1.101,2.501,DC,DC
4,3713516723.59,1.135,1.101,2.501,DC,DC
5,3713516726.1,1.135,1.101,2.501,DC,DC
6,3713516728.62,1.135,1.101,2.501,DC,DC
7,3713516731.14,1.135,1.101,2.501,DC,DC
8,3713516733.66,1.135,1.101,2.501,DC,DC
9,3713516736.18,1.135,1.101,2.501,DC,DC
10,3713516738.69,1.135,1.1,2.501,DC,DC
11,3713516741.2,1.135,1.1,2.501,DC,DC
12,3713516743.73,1.135,1.1,2.501,DC,DC
13,3713516746.24,1.135,1.1,2.501,DC,DC
14,3713516748.75,1.135,1.1,2.501,DC,DC
15,3713516751.27,1.135,1.1,2.501,DC,DC
16,3713516753.78,1.135,1.1,2.501,DC,DC
17,3713516756.28,1.135,1.1,2.501,DC,DC
18,3713516758.79,1.135,1.1,2.501,DC,DC
19,3713516761.3,1.135,1.1,2.501,DC,DC
20,3713516763.8,1.135,1.1,2.501,DC,DC
21,3713516766.31,1.135,1.101,2.501,DC,DC
22,3713516768.83,1.135,1.1,2.501,DC,DC
23,3713516771.34,1.135,1.1,2.501,DC,DC
24,3713516773.86,1.135,1.1,2.501,DC,DC
25,3713516776.37,1.135,1.1,2.501,DC,DC
26,3713516778.88,1.135,1.1,2.501,DC,DC
27,3713516781.4,1.135,1.1,2.501,DC,DC
28,3713516783.9,1.135,1.1,2.501,DC,DC
29,3713516786.41,1.135,1.1,2.501,DC,DC
30,3713516788.93,1.135,1.1,2.501,DC,DC
31,3713516791.45,1.135,1.101,2.501,DC,DC
32,3713516793.95,1.135,1.1,2.501,DC,DC
33,3713516796.46,1.135,1.1,2.501,DC,DC
34,3713516798.98,1.135,1.101,2.501,DC,DC
35,3713516801.5,1.135,1.101,2.501,DC,DC
36,3713516804.01,1.135,1.1,2.501,DC,DC
37,3713516806.53,1.135,1.1,2.501,DC,DC
38,3713516809.04,1.135,1.1,2.501,DC,DC
39,3713516811.55,1.135,1.101,2.501,DC,DC
40,3713516814.07,1.135,1.1,2.501,DC,DC
41,3713516816.58,1.135,1.1,2.501,DC,DC
42,3713516819.1,1.135,1.1,2.501,DC,DC
43,3713516821.61,1.135,1.1,2.501,DC,DC
44,3713516824.14,1.135,1.1,2.501,DC,DC
45,3713516826.64,1.135,1.1,2.501,DC,DC
46,3713516829.16,1.135,1.1,2.501,DC,DC
47,3713516831.68,1.135,1.1,2.501,DC,DC
48,3713516834.19,1.135,1.1,2.501,DC,DC
49,3713516860.2,1.135,1.105,2.501,DC,DC
50,3713516862.71,1.135,1.105,2.501,DC,DC
51,3713516865.22,1.135,1.105,2.501,DC,DC
52,3713516867.72,1.135,1.105,2.501,DC,DC
53,3713516870.24,1.135,1.105,2.501,DC,DC
