,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
1,3713256889.01,1.2,1.196,2.497,1029.8,0.02
2,3713256891.53,1.2,1.196,2.497,1029.8,0.02
3,3713256894.05,1.2,1.195,2.497,1029.8,0.02
4,3713256896.56,1.2,1.195,2.497,1029.8,0.02
5,3713256899.06,1.2,1.195,2.497,1029.8,0.02
6,3713256901.57,1.2,1.195,2.497,1029.8,0.02
7,3713256904.09,1.2,1.195,2.497,1029.8,0.02
8,3713256906.6,1.2,1.195,2.497,1029.8,0.02
9,3713256909.1,1.2,1.195,2.497,1029.8,0.02
10,3713256911.6,1.2,1.195,2.497,1029.8,0.02
11,3713256914.11,1.2,1.195,2.497,1029.8,0.02
12,3713256916.62,1.2,1.195,2.497,1029.8,0.02
13,3713256919.14,1.2,1.195,2.497,1029.8,0.02
14,3713256921.65,1.2,1.195,2.497,1029.8,0.02
15,3713256924.17,1.2,1.195,2.497,1029.8,0.02
16,3713256926.69,1.2,1.195,2.497,1029.8,0.02
17,3713256929.2,1.2,1.196,2.497,1029.8,0.02
18,3713256931.7,1.2,1.196,2.497,1029.8,0.02
19,3713256934.22,1.2,1.196,2.497,1029.8,0.02
20,3713256936.74,1.2,1.195,2.497,1029.8,0.02
21,3713256939.25,1.2,1.196,2.497,1029.8,0.02
22,3713256941.77,1.2,1.196,2.497,1029.8,0.02
23,3713256944.29,1.2,1.195,2.497,1029.8,0.02
24,3713256946.8,1.2,1.196,2.497,1029.8,0.02
25,3713256949.31,1.2,1.196,2.497,1029.8,0.02
26,3713256951.81,1.2,1.196,2.497,1029.8,0.02
27,3713256954.32,1.2,1.196,2.497,1029.8,0.02
28,3713256956.83,1.2,1.196,2.497,1029.8,0.02
29,3713256959.34,1.2,1.196,2.497,1029.8,0.02
30,3713256961.84,1.2,1.196,2.497,1029.8,0.02
31,3713256964.36,1.2,1.196,2.497,1029.8,0.02
32,3713256966.88,1.2,1.197,2.497,1029.8,0.02
33,3713256969.39,1.2,1.197,2.497,1029.8,0.02
34,3713256971.9,1.2,1.197,2.497,1029.8,0.02
35,3713256974.41,1.2,1.197,2.497,1029.8,0.02
36,3713256976.92,1.2,1.197,2.497,1029.8,0.02
37,3713256979.44,1.2,1.197,2.497,1029.8,0.02
38,3713256981.96,1.2,1.197,2.497,1029.8,0.02
39,3713256984.47,1.2,1.197,2.497,1029.8,0.02
40,3713256986.97,1.2,1.197,2.497,1029.8,0.02
41,3713256989.48,1.2,1.197,2.497,1029.8,0.02
42,3713256992.01,1.2,1.197,2.497,1029.8,0.02
43,3713256994.51,1.2,1.197,2.497,1029.8,0.02
44,3713256997.02,1.2,1.197,2.497,1029.8,0.02
45,3713256999.54,1.2,1.197,2.497,1029.8,0.02
46,3713257002.04,1.2,1.197,2.497,1029.8,0.02
47,3713257004.55,1.2,1.197,2.497,1029.8,0.02
48,3713257007.06,1.2,1.197,2.497,1029.8,0.02
49,3713257009.58,1.2,1.197,2.497,1029.8,0.02
50,3713257012.09,1.2,1.197,2.497,1029.8,0.02
51,3713257014.6,1.2,1.197,2.497,1029.8,0.02
52,3713257017.1,1.2,1.197,2.497,1029.8,0.02
53,3713257019.61,1.2,1.197,2.497,1029.8,0.02
54,3713257022.12,1.2,1.197,2.497,1029.8,0.02
55,3713257024.64,1.2,1.197,2.497,1029.8,0.02
56,3713257027.16,1.2,1.197,2.497,1029.8,0.02
57,3713257029.67,1.2,1.197,2.497,1029.8,0.02
58,3713257032.17,1.2,1.197,2.497,1029.8,0.02
59,3713257034.69,1.2,1.197,2.497,1029.8,0.02
60,3713257037.2,1.2,1.197,2.497,1029.8,0.02
61,3713257039.71,1.2,1.197,2.497,1029.8,0.02
62,3713257042.22,1.2,1.197,2.497,1029.8,0.02
63,3713257044.74,1.2,1.197,2.497,1029.8,0.02
64,3713257047.25,1.2,1.197,2.497,1029.8,0.02
65,3713257049.77,1.2,1.197,2.497,1029.8,0.02
66,3713257052.28,1.2,1.197,2.497,1029.8,0.02
67,3713257054.8,1.2,1.197,2.497,1029.8,0.02
68,3713257057.31,1.2,1.197,2.497,1029.8,0.02
69,3713257059.82,1.2,1.197,2.497,1029.8,0.02
70,3713257062.32,1.2,1.197,2.497,1029.8,0.02
71,3713257064.84,1.2,1.196,2.497,1029.8,0.02
72,3713257067.36,1.2,1.197,2.497,1029.8,0.02
73,3713257069.87,1.2,1.197,2.497,1029.8,0.02
74,3713257072.37,1.2,1.196,2.497,1029.8,0.02
75,3713257074.89,1.2,1.196,2.497,1029.8,0.02
76,3713257077.41,1.2,1.196,2.497,1029.8,0.02
77,3713257079.94,1.2,1.196,2.497,1029.8,0.02
78,3713257082.45,1.2,1.196,2.497,1029.8,0.02
79,3713257085.01,1.2,1.196,2.497,1029.8,0.02
80,3713257087.54,1.2,1.196,2.497,1029.8,0.02
81,3713257090.06,1.2,1.196,2.497,1029.8,0.02
82,3713257092.59,1.2,1.196,2.497,1029.8,0.02
83,3713257095.12,1.2,1.196,2.497,1029.8,0.02
84,3713257097.63,1.2,1.196,2.497,1029.8,0.02
85,3713257100.14,1.2,1.196,2.497,1029.8,0.02
86,3713257102.66,1.2,1.196,2.497,1029.8,0.02
87,3713257105.16,1.2,1.196,2.497,1029.8,0.02
88,3713257107.68,1.2,1.196,2.497,1029.8,0.02
89,3713257110.19,1.2,1.196,2.497,1029.8,0.02
90,3713257112.71,1.2,1.196,2.497,1029.8,0.02
91,3713257115.22,1.2,1.196,2.497,1029.8,0.02
92,3713257117.73,1.2,1.196,2.497,1029.8,0.02
93,3713257120.26,1.2,1.196,2.497,1029.8,0.02
94,3713257122.77,1.2,1.196,2.497,1029.8,0.02
95,3713257125.28,1.2,1.196,2.497,1029.8,0.02
96,3713257127.79,1.2,1.196,2.497,1029.8,0.02
97,3713257130.3,1.2,1.196,2.497,1029.8,0.02
98,3713257132.81,1.2,1.196,2.497,1029.8,0.02
99,3713257135.32,1.2,1.196,2.497,1029.8,0.02
100,3713257137.83,1.2,1.196,2.497,1029.8,0.02
101,3713257140.34,1.2,1.196,2.497,1029.8,0.02
102,3713257142.86,1.2,1.196,2.497,1029.8,0.02
103,3713257145.37,1.2,1.196,2.497,1029.8,0.02
104,3713257147.89,1.2,1.196,2.497,1029.8,0.02
105,3713257150.39,1.2,1.195,2.497,1029.8,0.02
106,3713257152.9,1.2,1.196,2.497,1029.8,0.02
107,3713257155.42,1.2,1.196,2.497,1029.8,0.02
108,3713257157.93,1.2,1.195,2.497,1029.8,0.02
109,3713257160.45,1.2,1.195,2.497,1029.8,0.02
110,3713257162.97,1.2,1.195,2.497,1029.8,0.02
111,3713257165.48,1.2,1.195,2.497,1029.8,0.02
112,3713257167.99,1.2,1.195,2.497,1029.8,0.02
113,3713257170.51,1.2,1.195,2.497,1029.8,0.02
114,3713257173.03,1.2,1.195,2.497,1029.8,0.02
115,3713257175.55,1.2,1.195,2.497,1029.8,0.02
116,3713257178.05,1.2,1.195,2.497,1029.8,0.02
117,3713257180.56,1.2,1.195,2.497,1029.8,0.02
118,3713257183.08,1.2,1.196,2.497,1029.8,0.02
119,3713257185.59,1.2,1.195,2.497,1029.8,0.02
120,3713257188.1,1.2,1.196,2.497,1029.8,0.02
121,3713257190.61,1.2,1.195,2.497,1029.8,0.02
122,3713257193.12,1.2,1.195,2.497,1029.8,0.02
123,3713257195.63,1.2,1.195,2.496,1029.8,0.02
124,3713257198.15,1.2,1.195,2.497,1029.8,0.02
125,3713257200.67,1.2,1.195,2.497,1029.8,0.02
126,3713257203.18,1.2,1.195,2.496,1029.8,0.02
127,3713257205.69,1.2,1.195,2.497,1029.8,0.02
128,3713257208.21,1.2,1.195,2.497,1029.8,0.02
129,3713257210.73,1.2,1.195,2.497,1029.8,0.02
130,3713257213.23,1.2,1.195,2.496,1029.8,0.02
131,3713257215.75,1.2,1.195,2.497,1029.8,0.02
132,3713257218.27,1.2,1.195,2.497,1029.8,0.02
133,3713257220.79,1.2,1.195,2.497,1029.8,0.02
134,3713257223.3,1.2,1.195,2.497,1029.8,0.02
135,3713257225.81,1.2,1.195,2.497,1029.8,0.02
136,3713257228.31,1.2,1.195,2.497,1029.8,0.02
137,3713257230.84,1.2,1.195,2.497,1029.8,0.02
138,3713257233.34,1.2,1.195,2.497,1029.8,0.02
139,3713257235.85,1.2,1.195,2.497,1029.8,0.02
140,3713257238.36,1.2,1.195,2.497,1029.8,0.02
141,3713257240.87,1.2,1.195,2.497,1029.8,0.02
142,3713257243.38,1.2,1.195,2.497,1029.8,0.02
143,3713257245.89,1.2,1.195,2.497,1029.8,0.02
144,3713257248.4,1.2,1.195,2.497,1029.8,0.02
145,3713257250.91,1.2,1.195,2.497,1029.8,0.02
146,3713257253.42,1.2,1.195,2.497,1029.8,0.02
147,3713257255.93,1.2,1.195,2.497,1029.8,0.02
148,3713257258.45,1.2,1.195,2.497,1029.8,0.02
149,3713257260.97,1.2,1.195,2.497,1029.8,0.02
150,3713257263.48,1.2,1.195,2.497,1029.8,0.02
151,3713257265.99,1.2,1.195,2.497,1029.8,0.02
152,3713257268.5,1.2,1.195,2.497,1029.8,0.02
153,3713257271.03,1.2,1.195,2.497,1029.8,0.02
154,3713257273.55,1.2,1.195,2.497,1029.8,0.02
155,3713257276.05,1.2,1.195,2.497,1029.8,0.02
156,3713257278.58,1.2,1.195,2.497,1029.8,0.02
157,3713257281.1,1.2,1.195,2.497,1029.8,0.02
158,3713257283.62,1.2,1.195,2.497,1029.8,0.02
159,3713257286.14,1.2,1.195,2.497,1029.8,0.02
160,3713257288.65,1.2,1.195,2.497,1029.8,0.02
161,3713257291.17,1.2,1.195,2.497,1029.8,0.02
162,3713257293.69,1.2,1.195,2.497,1029.8,0.02
163,3713257296.22,1.2,1.195,2.497,1029.8,0.02
164,3713257298.74,1.2,1.195,2.497,1029.8,0.02
165,3713257301.25,1.2,1.195,2.497,1029.8,0.02
166,3713257303.77,1.2,1.195,2.497,1029.8,0.02
167,3713257306.27,1.2,1.195,2.497,1029.8,0.02
168,3713257308.79,1.2,1.195,2.497,1029.8,0.02
169,3713257311.3,1.2,1.195,2.497,1029.8,0.02
170,3713257313.81,1.2,1.195,2.497,1029.8,0.02
171,3713257316.32,1.2,1.195,2.497,1029.8,0.02
172,3713257318.83,1.2,1.195,2.497,1029.8,0.02
173,3713257321.35,1.2,1.195,2.497,1029.8,0.02
174,3713257323.85,1.2,1.195,2.497,1029.8,0.02
175,3713257326.36,1.2,1.195,2.497,1029.8,0.02
176,3713257328.88,1.2,1.195,2.497,1029.8,0.02
177,3713257331.38,1.2,1.195,2.497,1029.8,0.02
178,3713257333.89,1.2,1.195,2.497,1029.8,0.02
179,3713257336.4,1.2,1.195,2.497,1029.8,0.02
180,3713257338.92,1.2,1.195,2.497,1029.8,0.02
181,3713257341.43,1.2,1.195,2.497,1029.8,0.02
182,3713257343.93,1.2,1.195,2.497,1029.8,0.02
183,3713257346.45,1.2,1.195,2.497,1029.8,0.02
184,3713257348.95,1.2,1.195,2.497,1029.8,0.02
185,3713257351.47,1.2,1.195,2.497,1029.8,0.02
186,3713257353.98,1.2,1.195,2.497,1029.8,0.02
187,3713257356.48,1.2,1.195,2.497,1029.8,0.02
188,3713257358.99,1.2,1.195,2.497,1029.8,0.02
189,3713257361.5,1.2,1.195,2.497,1029.8,0.02
190,3713257364.0,1.2,1.195,2.497,1029.8,0.02
191,3713257366.52,1.2,1.195,2.497,1029.8,0.02
192,3713257369.02,1.2,1.195,2.497,1029.8,0.02
193,3713257371.55,1.2,1.195,2.497,1029.8,0.02
194,3713257374.05,1.2,1.195,2.497,1029.8,0.02
195,3713257376.57,1.2,1.195,2.497,1029.8,0.02
196,3713257379.08,1.2,1.195,2.497,1029.8,0.02
197,3713257381.58,1.2,1.195,2.497,1029.8,0.02
198,3713257384.09,1.2,1.195,2.497,1029.8,0.02
199,3713257386.6,1.2,1.195,2.497,1029.8,0.02
200,3713257389.11,1.2,1.195,2.497,1029.8,0.02
201,3713257391.63,1.2,1.195,2.497,1029.8,0.02
202,3713257394.14,1.2,1.195,2.497,1029.8,0.02
203,3713257396.64,1.2,1.195,2.497,1029.8,0.02
204,3713257399.15,1.2,1.195,2.497,1029.8,0.02
205,3713257401.66,1.2,1.195,2.497,1029.8,0.02
206,3713257404.17,1.2,1.195,2.497,1029.8,0.02
207,3713257406.69,1.2,1.195,2.497,1029.8,0.02
208,3713257409.2,1.2,1.194,2.497,1029.8,0.02
209,3713257411.71,1.2,1.194,2.497,1029.8,0.02
210,3713257414.22,1.2,1.195,2.497,1029.8,0.02
211,3713257416.73,1.2,1.195,2.497,1029.8,0.02
212,3713257419.24,1.2,1.195,2.497,1029.8,0.02
213,3713257421.74,1.2,1.195,2.497,1029.8,0.02
214,3713257424.24,1.2,1.195,2.497,1029.8,0.02
215,3713257426.75,1.2,1.195,2.497,1029.8,0.02
216,3713257429.26,1.2,1.195,2.497,1029.8,0.02
217,3713257431.78,1.2,1.195,2.497,1029.8,0.02
218,3713257434.3,1.2,1.195,2.497,1029.8,0.02
219,3713257436.81,1.2,1.195,2.497,1029.8,0.02
220,3713257439.31,1.2,1.195,2.497,1029.8,0.02
221,3713257441.81,1.2,1.195,2.497,1029.8,0.02
222,3713257444.32,1.2,1.195,2.497,1029.8,0.02
223,3713257446.83,1.2,1.195,2.497,1029.8,0.02
224,3713257449.35,1.2,1.195,2.497,1029.8,0.02
225,3713257451.87,1.2,1.195,2.497,1029.8,0.02
226,3713257454.38,1.2,1.195,2.497,1029.8,0.02
227,3713257456.89,1.2,1.195,2.497,1029.8,0.02
228,3713257459.39,1.2,1.195,2.497,1029.8,0.02
229,3713257461.9,1.2,1.195,2.497,1029.8,0.02
230,3713257464.4,1.2,1.195,2.497,1029.8,0.02
231,3713257466.91,1.2,1.195,2.497,1029.8,0.02
232,3713257469.43,1.2,1.195,2.497,1029.8,0.02
233,3713257471.94,1.2,1.195,2.497,1029.8,0.02
234,3713257474.45,1.2,1.195,2.497,1029.8,0.02
235,3713257476.96,1.2,1.195,2.496,1029.8,0.02
236,3713257479.48,1.2,1.195,2.497,1029.8,0.02
237,3713257482.0,1.2,1.195,2.497,1029.8,0.02
238,3713257484.51,1.2,1.195,2.497,1029.8,0.02
239,3713257487.02,1.2,1.195,2.497,1029.8,0.02
240,3713257489.53,1.2,1.195,2.496,1029.8,0.02
241,3713257492.04,1.2,1.195,2.497,1029.8,0.02
242,3713257494.56,1.2,1.195,2.496,1029.8,0.02
243,3713257497.07,1.2,1.195,2.497,1029.8,0.02
244,3713257499.57,1.2,1.195,2.497,1029.8,0.02
245,3713257502.09,1.2,1.195,2.497,1029.8,0.02
246,3713257504.59,1.2,1.195,2.497,1029.8,0.02
247,3713257507.1,1.2,1.195,2.496,1029.8,0.02
248,3713257509.6,1.2,1.195,2.497,1029.8,0.02
249,3713257512.1,1.2,1.195,2.497,1029.8,0.02
250,3713257514.61,1.2,1.195,2.497,1029.8,0.02
251,3713257517.13,1.2,1.195,2.497,1029.8,0.02
252,3713257519.64,1.2,1.195,2.497,1029.8,0.02
253,3713257522.16,1.2,1.195,2.497,1029.8,0.02
254,3713257524.68,1.2,1.195,2.497,1029.8,0.02
255,3713257527.2,1.2,1.195,2.497,1029.8,0.02
256,3713257529.71,1.2,1.195,2.497,1029.8,0.02
257,3713257532.22,1.2,1.195,2.497,1029.8,0.02
258,3713257534.72,1.2,1.195,2.497,1029.8,0.02
259,3713257537.24,1.2,1.195,2.497,1029.8,0.02
260,3713257539.75,1.2,1.195,2.497,1029.8,0.02
261,3713257542.26,1.2,1.195,2.497,1029.8,0.02
262,3713257544.78,1.2,1.195,2.497,1029.8,0.02
263,3713257547.29,1.2,1.195,2.497,1029.8,0.02
264,3713257549.8,1.2,1.195,2.497,1029.8,0.02
265,3713257552.31,1.2,1.195,2.497,1029.8,0.02
266,3713257554.81,1.2,1.195,2.497,1029.8,0.02
267,3713257557.33,1.2,1.195,2.497,1029.8,0.02
268,3713257559.84,1.2,1.195,2.497,1029.8,0.02
269,3713257562.35,1.2,1.195,2.497,1029.8,0.02
270,3713257564.86,1.2,1.195,2.497,1029.8,0.02
271,3713257567.37,1.2,1.195,2.496,1029.8,0.02
272,3713257569.89,1.2,1.195,2.497,1029.8,0.02
273,3713257572.4,1.2,1.195,2.497,1029.8,0.02
274,3713257574.91,1.2,1.195,2.497,1029.8,0.02
275,3713257577.42,1.2,1.195,2.497,1029.8,0.02
276,3713257579.94,1.2,1.195,2.497,1029.8,0.02
277,3713257582.44,1.2,1.195,2.497,1029.8,0.02
278,3713257584.96,1.2,1.195,2.497,1029.8,0.02
279,3713257587.47,1.2,1.195,2.497,1029.8,0.02
280,3713257589.99,1.2,1.195,2.497,1029.8,0.02
281,3713257592.5,1.2,1.196,2.497,1029.8,0.02
282,3713257595.01,1.2,1.196,2.497,1029.8,0.02
283,3713257597.52,1.2,1.196,2.497,1029.8,0.02
284,3713257600.02,1.2,1.196,2.497,1029.8,0.02
285,3713257602.54,1.2,1.196,2.497,1029.8,0.02
286,3713257605.05,1.2,1.196,2.497,1029.8,0.02
287,3713257607.57,1.2,1.195,2.497,1029.8,0.02
288,3713257610.07,1.2,1.196,2.497,1029.8,0.02
289,3713257612.58,1.2,1.196,2.497,1029.8,0.02
290,3713257615.08,1.2,1.196,2.497,1029.8,0.02
291,3713257617.59,1.2,1.196,2.497,1029.8,0.02
292,3713257620.1,1.2,1.196,2.497,1029.8,0.02
293,3713257622.61,1.2,1.196,2.497,1029.8,0.02
294,3713257625.12,1.2,1.196,2.497,1029.8,0.02
295,3713257627.62,1.2,1.196,2.497,1029.8,0.02
296,3713257630.13,1.2,1.196,2.497,1029.8,0.02
297,3713257632.64,1.2,1.196,2.497,1029.8,0.02
298,3713257635.14,1.2,1.196,2.497,1029.8,0.02
299,3713257637.65,1.2,1.196,2.497,1029.8,0.02
300,3713257640.16,1.2,1.196,2.497,1029.8,0.02
301,3713257642.68,1.2,1.196,2.497,1029.8,0.02
302,3713257645.19,1.2,1.196,2.497,1029.8,0.02
303,3713257647.7,1.2,1.196,2.497,1029.8,0.02
304,3713257650.21,1.2,1.196,2.497,1029.8,0.02
305,3713257652.72,1.2,1.196,2.497,1029.8,0.02
306,3713257655.23,1.2,1.196,2.497,1029.8,0.02
307,3713257657.74,1.2,1.196,2.497,1029.8,0.02
308,3713257660.25,1.2,1.196,2.497,1029.8,0.02
309,3713257662.76,1.2,1.196,2.497,1029.8,0.02
310,3713257665.27,1.2,1.196,2.497,1029.8,0.02
311,3713257667.78,1.2,1.196,2.497,1029.8,0.02
312,3713257670.29,1.2,1.196,2.497,1029.8,0.02
313,3713257672.8,1.2,1.196,2.497,1029.8,0.02
314,3713257675.31,1.2,1.196,2.497,1029.8,0.02
315,3713257677.83,1.2,1.197,2.497,1029.8,0.02
316,3713257680.35,1.2,1.197,2.497,1029.8,0.02
317,3713257682.85,1.2,1.197,2.497,1029.8,0.02
318,3713257685.35,1.2,1.197,2.497,1029.8,0.02
319,3713257687.86,1.2,1.197,2.497,1029.8,0.02
320,3713257690.37,1.2,1.197,2.497,1029.8,0.02
321,3713257692.89,1.2,1.197,2.497,1029.8,0.02
322,3713257695.4,1.2,1.197,2.497,1029.8,0.02
323,3713257697.91,1.2,1.197,2.497,1029.8,0.02
324,3713257700.41,1.2,1.197,2.497,1029.8,0.02
