,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
1,3713248547.56,1.2,1.247,1.241,1.0,0.02
2,3713248550.07,1.2,1.226,1.235,1.0,0.02
3,3713248552.57,1.2,1.237,1.237,11.0,0.02
4,3713248555.08,1.2,1.238,1.237,21.0,0.02
5,3713248557.59,1.2,1.237,1.238,31.0,0.02
6,3713248560.1,1.2,1.238,1.238,41.0,0.02
7,3713248562.62,1.2,1.238,1.238,51.0,0.02
8,3713248565.13,1.2,1.238,1.238,61.0,0.02
9,3713248567.64,1.2,1.238,1.238,71.0,0.02
10,3713248570.15,1.2,1.238,1.238,81.0,0.02
11,3713248572.65,1.2,1.238,1.238,91.0,0.02
12,3713248575.17,1.2,1.237,1.236,101.0,0.02
13,3713248577.68,1.2,1.237,1.237,111.0,0.02
14,3713248580.19,1.2,1.237,1.237,121.0,0.02
15,3713248582.7,1.2,1.237,1.237,131.0,0.02
16,3713248585.21,1.2,1.237,1.236,141.0,0.02
17,3713248587.74,1.2,1.236,1.236,151.0,0.02
18,3713248590.24,1.2,1.236,1.236,161.0,0.02
19,3713248592.75,1.2,1.236,1.236,171.0,0.02
20,3713248595.25,1.2,1.236,1.236,181.0,0.02
21,3713248597.77,1.2,1.236,1.235,191.0,0.02
22,3713248600.28,1.2,1.236,1.236,201.0,0.02
23,3713248602.79,1.2,1.235,1.235,211.0,0.02
24,3713248605.3,1.2,1.235,1.235,221.0,0.02
25,3713248607.82,1.2,1.236,1.236,231.0,0.02
26,3713248610.32,1.2,1.236,1.236,241.0,0.02
27,3713248612.83,1.2,1.236,1.236,251.0,0.02
28,3713248615.33,1.2,1.236,1.236,261.0,0.02
29,3713248617.85,1.2,1.236,1.236,271.0,0.02
30,3713248620.36,1.2,1.236,1.236,281.0,0.02
31,3713248622.88,1.2,1.236,1.236,291.0,0.02
32,3713248625.41,1.2,1.236,1.236,301.0,0.02
33,3713248627.91,1.2,1.236,1.236,311.0,0.02
34,3713248630.42,1.2,1.236,1.236,321.0,0.02
35,3713248632.93,1.2,1.236,1.236,331.0,0.02
36,3713248635.44,1.2,1.236,1.236,341.0,0.02
37,3713248637.95,1.2,1.236,1.236,351.0,0.02
38,3713248640.46,1.2,1.236,1.236,361.0,0.02
39,3713248642.97,1.2,1.236,1.236,371.0,0.02
40,3713248645.48,1.2,1.236,1.236,381.0,0.02
41,3713248648.0,1.2,1.237,1.237,391.0,0.02
42,3713248650.51,1.2,1.236,1.237,401.0,0.02
43,3713248653.02,1.2,1.237,1.237,411.0,0.02
44,3713248655.53,1.2,1.237,1.237,421.0,0.02
45,3713248658.04,1.2,1.237,1.237,431.0,0.02
46,3713248660.54,1.2,1.237,1.237,441.0,0.02
47,3713248663.05,1.2,1.237,1.237,451.0,0.02
48,3713248665.56,1.2,1.236,1.236,461.0,0.02
49,3713248668.06,1.2,1.236,1.236,471.0,0.02
50,3713248670.57,1.2,1.236,1.237,481.0,0.02
51,3713248673.08,1.2,1.237,1.237,491.0,0.02
52,3713248675.59,1.2,1.237,1.237,501.0,0.02
53,3713248678.1,1.2,1.237,1.237,511.0,0.02
54,3713248680.62,1.2,1.237,1.237,521.0,0.02
55,3713248683.13,1.2,1.237,1.237,531.0,0.02
56,3713248685.65,1.2,1.237,1.237,541.0,0.02
57,3713248688.16,1.2,1.237,1.237,551.0,0.02
58,3713248690.68,1.2,1.237,1.237,561.0,0.02
59,3713248693.2,1.2,1.237,1.237,571.0,0.02
60,3713248695.71,1.2,1.237,1.236,581.0,0.02
61,3713248698.22,1.2,1.236,1.236,591.0,0.02
62,3713248700.73,1.2,1.236,1.236,601.0,0.02
63,3713248703.24,1.2,1.236,1.236,611.0,0.02
64,3713248705.75,1.2,1.236,1.236,621.0,0.02
65,3713248708.26,1.2,1.236,1.237,631.0,0.02
66,3713248710.78,1.2,1.236,1.236,641.0,0.02
67,3713248713.3,1.2,1.236,1.236,651.0,0.02
68,3713248715.81,1.2,1.236,1.236,661.0,0.02
69,3713248718.32,1.2,1.236,1.236,671.0,0.02
70,3713248720.83,1.2,1.236,1.236,681.0,0.02
71,3713248723.35,1.2,1.189,1.236,691.0,0.02
72,3713248725.86,1.2,1.2357,1.2341,701.0,0.02
73,3713248728.37,1.2,1.2343,1.237,711.0,0.02
74,3713248730.89,1.2,1.237,1.2339,721.0,0.02
75,3713248733.4,1.2,1.2341,1.237,731.0,0.02
76,3713248735.92,1.2,1.237,1.2423,741.0,0.02
77,3713248738.43,1.2,1.2341,1.2341,751.0,0.02
78,3713248740.94,1.2,1.2342,1.2346,761.0,0.02
79,3713248743.44,1.2,1.2346,1.2348,771.0,0.02
80,3713248745.95,1.2,1.239,1.237,781.0,0.02
81,3713248748.46,1.2,1.237,1.237,791.0,0.02
82,3713248750.97,1.2,1.237,1.237,801.0,0.02
83,3713248753.48,1.2,1.237,1.236,811.0,0.02
84,3713248756.0,1.2,1.236,1.236,821.0,0.02
85,3713248758.51,1.2,0.0,1.236,831.0,0.02
86,3713248761.02,1.2,1.236,1.236,831.0,0.02
87,3713248763.54,1.2,1.236,1.236,851.0,0.02
88,3713248766.05,1.2,1.236,1.237,861.0,0.02
89,3713248768.55,1.2,1.236,1.236,871.0,0.02
90,3713248771.06,1.2,1.236,1.236,881.0,0.02
91,3713248773.58,1.2,1.236,1.236,891.0,0.02
92,3713248776.09,1.2,1.236,1.236,901.0,0.02
93,3713248778.6,1.2,1.236,1.236,911.0,0.02
