,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
1,3713350905.67,1.2,1.182,2.5,DC,DC
2,3713350908.18,1.2,1.182,2.5,DC,DC
3,3713350910.7,1.2,1.182,2.5,DC,DC
4,3713350913.23,1.2,1.181,2.5,DC,DC
5,3713350915.75,1.2,1.181,2.5,DC,DC
6,3713350918.26,1.2,1.181,2.5,DC,DC
7,3713350920.79,1.2,1.181,2.5,DC,DC
8,3713350923.31,1.2,1.181,2.5,DC,DC
9,3713350925.84,1.2,1.181,2.5,DC,DC
10,3713350928.35,1.2,1.181,2.5,DC,DC
11,3713350930.88,1.2,1.181,2.5,DC,DC
12,3713350933.4,1.2,1.181,2.5,DC,DC
13,3713350935.91,1.2,1.181,2.501,DC,DC
14,3713350938.42,1.2,1.181,2.501,DC,DC
15,3713350940.93,1.2,1.181,2.5,DC,DC
16,3713350943.44,1.2,1.181,2.5,DC,DC
17,3713350945.96,1.2,1.181,2.5,DC,DC
18,3713350948.47,1.2,1.181,2.5,DC,DC
19,3713350950.99,1.2,1.181,2.5,DC,DC
20,3713350953.52,1.2,1.181,2.5,DC,DC
21,3713350956.05,1.2,1.181,2.5,DC,DC
22,3713350958.58,1.2,1.181,2.5,DC,DC
23,3713350961.11,1.2,1.181,2.5,DC,DC
24,3713350963.62,1.2,1.181,2.5,DC,DC
25,3713350966.13,1.2,1.181,2.5,DC,DC
26,3713350968.64,1.2,1.181,2.5,DC,DC
27,3713350971.16,1.2,1.181,2.5,DC,DC
28,3713350973.67,1.2,1.182,2.5,DC,DC
29,3713350976.2,1.2,1.182,2.5,DC,DC
30,3713350978.72,1.2,1.181,2.5,DC,DC
31,3713350981.23,1.2,1.182,2.5,DC,DC
32,3713350983.75,1.2,1.182,2.5,DC,DC
33,3713350986.27,1.2,1.181,2.5,DC,DC
34,3713350988.79,1.2,1.181,2.5,DC,DC
35,3713350991.31,1.2,1.181,2.5,DC,DC
36,3713350993.84,1.2,1.181,2.5,DC,DC
37,3713350996.34,1.2,1.181,2.5,DC,DC
38,3713350998.86,1.2,1.181,2.5,DC,DC
39,3713351001.39,1.2,1.181,2.5,DC,DC
40,3713351003.91,1.2,1.181,2.5,DC,DC
41,3713351006.44,1.2,1.181,2.5,DC,DC
42,3713351008.96,1.2,1.181,2.5,DC,DC
43,3713351011.48,1.2,1.181,2.5,DC,DC
44,3713351014.0,1.2,1.181,2.501,DC,DC
45,3713351016.52,1.2,1.181,2.501,DC,DC
46,3713351019.04,1.2,1.181,2.5,DC,DC
47,3713351021.55,1.2,1.181,2.5,DC,DC
48,3713351024.06,1.2,1.181,2.5,DC,DC
49,3713351026.59,1.2,1.181,2.5,DC,DC
50,3713351029.11,1.2,1.181,2.5,DC,DC
51,3713351031.62,1.2,1.181,2.5,DC,DC
52,3713351034.14,1.2,1.182,2.5,DC,DC
53,3713351036.66,1.2,1.182,2.5,DC,DC
54,3713351039.19,1.2,1.182,2.5,DC,DC
55,3713351041.7,1.2,1.182,2.5,DC,DC
56,3713351044.21,1.2,1.182,2.501,DC,DC
57,3713351046.72,1.2,1.182,2.501,DC,DC
58,3713351049.24,1.2,1.182,2.5,DC,DC
59,3713351051.76,1.2,1.182,2.5,DC,DC
60,3713351054.27,1.2,1.182,2.5,DC,DC
61,3713351056.8,1.2,1.182,2.5,DC,DC
62,3713351059.31,1.2,1.182,2.5,DC,DC
63,3713351061.84,1.2,1.182,2.5,DC,DC
64,3713351064.34,1.2,1.182,2.5,DC,DC
65,3713351066.85,1.2,1.182,2.5,DC,DC
66,3713351069.37,1.2,1.182,2.5,DC,DC
67,3713351071.88,1.2,1.182,2.5,DC,DC
