,0,1,2,3,4,5,6
0,time[s],Voltage CH1,Voltage CH2,Current CH1,Current CH2,Power CH1,Power CH2
1,3713256988.7202616,14.9995,2.4976,0.1693,0.0744,2.54,0.19
2,3713256989.7526703,14.9995,2.4976,0.1715,0.0744,2.57,0.19
3,3713256990.7880774,14.9995,2.4976,0.1664,0.0744,2.49,0.19
4,3713256991.807495,14.9995,2.4975,0.1677,0.0744,2.49,0.19
5,3713256992.830909,14.9995,2.4976,0.1700,0.0744,2.55,0.19
6,3713256993.851327,14.9995,2.4976,0.1682,0.0744,2.52,0.19
7,3713256994.8897305,14.9997,2.4976,0.1659,0.0744,2.49,0.19
8,3713256995.909147,14.9996,2.4976,0.1704,0.0744,2.53,0.19
9,3713256996.9315615,14.9996,2.4976,0.1719,0.0744,2.58,0.19
10,3713256997.949979,14.9997,2.4976,0.1690,0.0744,2.53,0.19
11,3713256998.9703956,14.9997,2.4975,0.1670,0.0744,2.50,0.19
12,3713256999.9898114,14.9997,2.4975,0.1716,0.0745,2.57,0.19
13,3713257001.0222206,14.9996,2.4975,0.1711,0.0744,2.57,0.19
14,3713257002.0436387,14.9996,2.4975,0.1671,0.0745,2.51,0.19
15,3713257003.0770445,14.9995,2.4975,0.1669,0.0745,2.50,0.19
16,3713257004.1144514,14.9994,2.4976,0.1700,0.0745,2.55,0.19
17,3713257005.1498575,14.9994,2.4975,0.1686,0.0745,2.53,0.19
18,3713257006.1702743,14.9993,2.4975,0.1680,0.0745,2.52,0.19
19,3713257007.206682,14.9993,2.4975,0.1708,0.0745,2.51,0.19
20,3713257008.2270975,14.9994,2.4975,0.1717,0.0744,2.58,0.19
21,3713257009.2485127,14.9994,2.4975,0.1696,0.0744,2.54,0.19
22,3713257010.280923,14.9994,2.4975,0.1655,0.0744,2.48,0.19
23,3713257011.3173313,14.9995,2.4976,0.1656,0.0744,2.48,0.19
24,3713257012.350749,14.9994,2.4976,0.1695,0.0745,2.54,0.19
25,3713257013.387144,14.9993,2.4975,0.1710,0.0744,2.56,0.19
26,3713257014.422552,14.9994,2.4976,0.1688,0.0744,2.53,0.19
27,3713257015.4589586,14.9994,2.4975,0.1654,0.0744,2.48,0.19
28,3713257016.495365,14.9994,2.4975,0.1676,0.0744,2.51,0.19
29,3713257017.530773,14.9995,2.4975,0.1695,0.0744,2.54,0.19
30,3713257018.5641823,14.9994,2.4975,0.1700,0.0744,2.55,0.19
31,3713257019.6015897,14.9992,2.4975,0.1658,0.0744,2.49,0.19
32,3713257020.6349974,14.9994,2.4975,0.1659,0.0744,2.49,0.19
33,3713257021.6734023,14.9994,2.4975,0.1701,0.0744,2.55,0.19
