,0,1,2,3,4,5,6
0,time[s],Voltage CH1,Voltage CH2,Current CH1,Current CH2,Power CH1,Power CH2
1,3713248541.0814447,14.9991,1.2202,0.2521,0.2498,3.78,0.30
2,3713248542.0998507,14.9991,1.2201,0.2521,0.2498,3.78,0.30
3,3713248543.1287594,14.9991,1.2199,0.2521,0.2499,3.78,0.30
4,3713248544.153262,14.9991,1.2197,0.2521,0.2498,3.78,0.30
5,3713248545.188033,14.9992,1.2196,0.2521,0.2498,3.78,0.30
6,3713248546.2143126,14.9992,1.2195,0.2522,0.2498,3.78,0.30
7,3713248547.2363014,14.9993,1.2194,0.2522,0.2498,3.78,0.30
8,3713248548.262717,14.9991,1.2195,0.2522,0.2498,3.78,0.30
9,3713248549.289646,14.9992,1.2195,0.2521,0.2498,3.78,0.30
10,3713248550.307789,14.9990,1.2196,0.2521,0.2498,3.78,0.30
11,3713248551.34293,14.9992,1.2199,0.2521,0.2498,3.78,0.30
12,3713248552.367032,14.9992,1.2199,0.2521,0.2498,3.78,0.30
13,3713248553.4000454,14.9992,1.2196,0.2521,0.2498,3.78,0.30
14,3713248554.432454,14.9992,1.2181,0.2521,0.2498,3.78,0.30
15,3713248555.4522905,14.9992,1.2184,0.2521,0.2498,3.78,0.30
16,3713248556.486113,14.9991,1.2185,0.2521,0.2498,3.78,0.30
17,3713248557.522233,14.9991,1.2186,0.2522,0.2498,3.78,0.30
18,3713248558.555317,14.9991,1.2203,0.2522,0.2498,3.78,0.30
19,3713248559.5903473,14.9991,1.2205,0.2522,0.2498,3.78,0.30
20,3713248560.6105413,14.9991,1.2206,0.2521,0.2498,3.78,0.30
21,3713248561.6457353,14.9993,1.2209,0.2521,0.2498,3.78,0.30
22,3713248562.6752205,14.9992,1.2210,0.2521,0.2498,3.78,0.31
23,3713248563.7100534,14.9992,1.2210,0.2521,0.2499,3.78,0.31
24,3713248564.7341747,14.9991,1.2211,0.2522,0.2498,3.78,0.31
25,3713248565.7673473,14.9992,1.2213,0.2521,0.2498,3.78,0.31
26,3713248566.8005624,14.9991,1.2215,0.2521,0.2498,3.78,0.31
27,3713248567.8271666,14.9991,1.2215,0.2521,0.2498,3.78,0.31
28,3713248568.8638124,14.9992,1.2215,0.2510,0.2498,3.76,0.31
29,3713248569.8992186,14.9991,1.2215,0.2508,0.2498,3.76,0.31
30,3713248570.9366283,14.9991,1.2214,0.2506,0.2498,3.76,0.31
31,3713248571.9710345,14.9991,1.2214,0.2504,0.2498,3.76,0.31
32,3713248573.0054407,14.9991,1.2216,0.2521,0.2498,3.78,0.31
33,3713248574.0428486,14.9991,1.2214,0.2517,0.2498,3.78,0.31
34,3713248575.0782537,14.9990,1.2213,0.2509,0.2498,3.76,0.31
35,3713248576.1136637,14.9991,1.2214,0.2514,0.2498,3.77,0.31
36,3713248577.1480713,14.9990,1.2215,0.2496,0.2498,3.74,0.31
37,3713248578.185478,14.9990,1.2216,0.2544,0.2498,3.82,0.31
