,0,1,2,3,4,5,6
0,time[s],Voltage CH1,Voltage CH2,Current CH1,Current CH2,Power CH1,Power CH2
1,3713245937.6099625,14.9991,1.2129,0.2522,0.2498,3.78,0.30
2,3713245938.6393723,14.9990,1.2128,0.2522,0.2498,3.78,0.30
3,3713245939.672784,14.9991,1.2126,0.2521,0.2498,3.78,0.30
4,3713245940.7051907,14.9991,1.2126,0.2522,0.2498,3.78,0.30
5,3713245941.727605,14.9992,1.2124,0.2522,0.2499,3.78,0.30
6,3713245942.7480197,14.9991,1.2122,0.2522,0.2498,3.78,0.30
7,3713245943.776433,14.9990,1.2119,0.2522,0.2498,3.78,0.30
8,3713245944.7976136,14.9990,1.2118,0.2522,0.2498,3.78,0.30
9,3713245945.827046,14.9990,1.2118,0.2522,0.2498,3.78,0.30
10,3713245946.857181,14.9989,1.2116,0.2522,0.2498,3.78,0.30
11,3713245947.8835945,14.9989,1.2116,0.2521,0.2498,3.78,0.30
12,3713245948.9036975,14.9990,1.2116,0.2522,0.2498,3.78,0.30
13,3713245949.9368615,14.9991,1.2114,0.2523,0.2499,3.78,0.30
14,3713245950.9705257,14.9991,1.2112,0.2522,0.2498,3.78,0.30
15,3713245952.004566,14.9992,1.2114,0.2522,0.2499,3.78,0.30
16,3713245953.0367937,14.9992,1.2114,0.2522,0.2499,3.78,0.30
17,3713245954.0568666,14.9992,1.2114,0.2522,0.2498,3.78,0.30
18,3713245955.089942,14.9993,1.2113,0.2522,0.2499,3.78,0.30
19,3713245956.120983,14.9992,1.2114,0.2522,0.2499,3.78,0.30
20,3713245957.1538396,14.9991,1.2112,0.2522,0.2499,3.78,0.30
21,3713245958.1867905,14.9991,1.2115,0.2522,0.2498,3.78,0.30
22,3713245959.208742,14.9992,1.2116,0.2522,0.2498,3.78,0.30
23,3713245960.244624,14.9991,1.2115,0.2522,0.2498,3.78,0.30
24,3713245961.274453,14.9990,1.2116,0.2522,0.2498,3.78,0.30
25,3713245962.3036203,14.9990,1.2114,0.2522,0.2499,3.78,0.30
26,3713245963.3367577,14.9991,1.2111,0.2522,0.2499,3.78,0.30
27,3713245964.3717365,14.9992,1.2111,0.2522,0.2499,3.78,0.30
28,3713245965.407591,14.9991,1.2110,0.2522,0.2499,3.78,0.30
29,3713245966.4441924,14.9991,1.2114,0.2522,0.2498,3.78,0.30
30,3713245967.478099,14.9992,1.2115,0.2522,0.2499,3.78,0.30
31,3713245968.5150285,14.9991,1.2117,0.2522,0.2499,3.78,0.30
32,3713245969.5478153,14.9990,1.2119,0.2522,0.2499,3.78,0.30
33,3713245970.5787864,14.9991,1.2120,0.2522,0.2499,3.78,0.30
34,3713245971.6158466,14.9990,1.2122,0.2522,0.2499,3.78,0.30
35,3713245972.645523,14.9990,1.2121,0.2523,0.2499,3.78,0.30
36,3713245973.677107,14.9990,1.2121,0.2522,0.2499,3.78,0.30
