,0,1,2,3,4,5,6
0,time[s],Voltage CH1,Voltage CH2,Current CH1,Current CH2,Power CH1,Power CH2
1,3713176556.2168913,0.0000,0.0027,0.0000,0.0000,0.00,0.00
2,3713176557.2486396,0.0000,0.0027,0.0000,0.0000,0.00,0.00
3,3713176558.2828765,0.0000,0.0028,0.0000,0.0000,0.00,0.00
4,3713176559.3118567,0.0000,0.0028,0.0000,0.0000,0.00,0.00
5,3713176560.3452477,0.0000,0.0028,0.0000,0.0000,0.00,0.00
6,3713176561.378229,0.0000,0.0029,0.0000,0.0000,0.00,0.00
7,3713176562.4099803,0.0000,0.0029,0.0000,0.0000,0.00,0.00
8,3713176563.444644,0.0000,0.0029,0.0000,0.0000,0.00,0.00
9,3713176564.4748983,0.0000,0.0030,0.0000,0.0000,0.00,0.00
10,3713176565.512962,0.0000,0.0029,0.0000,0.0000,0.00,0.00
11,3713176566.5479074,0.0000,0.0030,0.0000,0.0000,0.00,0.00
12,3713176567.577344,0.0000,0.0031,0.0000,0.0000,0.00,0.00
13,3713176568.605757,0.0000,0.0031,0.0000,0.0000,0.00,0.00
14,3713176569.635026,0.0000,0.0031,0.0000,0.0000,0.00,0.00
15,3713176570.6677985,0.0000,0.0031,0.0000,0.0000,0.00,0.00
16,3713176571.6994896,0.0000,0.0032,0.0000,0.0000,0.00,0.00
17,3713176572.731053,0.0000,0.0031,0.0000,0.0000,0.00,0.00
18,3713176573.7660036,0.0000,0.0031,0.0000,0.0000,0.00,0.00
19,3713176574.8016167,0.0000,0.0031,0.0000,0.0000,0.00,0.00
20,3713176575.84803,14.9951,1.1831,0.2526,0.2497,3.79,0.29
21,3713176576.881714,14.9981,1.1838,0.2520,0.2497,3.78,0.29
22,3713176577.916504,14.9986,1.1843,0.2519,0.2498,3.78,0.29
23,3713176578.947594,14.9988,1.1846,0.2519,0.2498,3.78,0.29
24,3713176579.9840775,14.9989,1.1847,0.2519,0.2498,3.78,0.29
25,3713176581.0128093,14.9989,1.1847,0.2519,0.2498,3.78,0.29
26,3713176582.044957,14.9989,1.1850,0.2519,0.2498,3.78,0.30
27,3713176583.094104,14.9989,1.1850,0.2519,0.2498,3.78,0.30
28,3713176584.139575,14.9989,1.1850,0.2519,0.2498,3.78,0.30
29,3713176585.184581,14.9988,1.1850,0.2518,0.2498,3.78,0.30
30,3713176586.233292,14.9988,1.1850,0.2519,0.2498,3.78,0.30
31,3713176587.2822037,14.9987,1.1851,0.2519,0.2498,3.78,0.30
32,3713176588.3261786,14.9986,1.1851,0.2519,0.2498,3.78,0.30
33,3713176589.375591,14.9985,1.1850,0.2519,0.2498,3.78,0.30
34,3713176590.424924,14.9985,1.1849,0.2519,0.2498,3.78,0.29
35,3713176591.4749594,14.9985,1.1848,0.2519,0.2498,3.78,0.29
36,3713176592.5261474,14.9985,1.1847,0.2519,0.2498,3.78,0.29
37,3713176593.5699415,14.9986,1.1846,0.2519,0.2498,3.78,0.29
38,3713176594.617956,14.9987,1.1846,0.2519,0.2498,3.78,0.29
39,3713176595.6647754,14.9986,1.1846,0.2519,0.2498,3.78,0.29
40,3713176596.709668,14.9986,1.1847,0.2519,0.2498,3.78,0.29
41,3713176597.7433686,14.9986,1.1848,0.2519,0.2498,3.78,0.29
42,3713176598.7922235,14.9985,1.1849,0.2519,0.2498,3.78,0.29
43,3713176599.8440456,14.9986,1.1849,0.2519,0.2498,3.78,0.29
